"ID","round","phase","OB_1","OB_2","OB_3","OB_4","AS_1","AS_2","AS_3","AS_4","dwmean_1","dwmean_2","dwmean_3","dwmean_4","RT_1","RT_2","RT_3","RT_4","payoff","accuracy","performance","novelty","type","afterbreak","breakR"
"H1318",18,"35",12,2,5,2,30,1,4,1,0.145903225806452,0.218,0.2404,0.195,7.675,1.06,1.202,0.983832858815789,4,1,48,"1","H",1,8
"H1323",1,"1",15,8,12,16,43,14,15,34,0.210886363636364,0.417066666666667,0.273875,0.365253952697984,10.467,6.958,6.053,14.6248883444294,5.75,0.5,23,"0","H",0,9
"H1323",1,"2",17,7,11,10,35,7,14,23,0.304222222222222,0.487625,0.526266666666667,0.174578681017893,11.919,4.96,9.564,5.01688834442943,3.5,0,14,"0","H",0,9
"H1323",2,"3",17,9,6,5,55,9,10,11,0.193053571428571,0.2228,0.0979090909090909,0.10275,11.918,3.807,1.451,1.96188834442943,2,1,24,"0","H",0,9
"H1323",2,"4",14,5,5,7,24,6,16,15,0.27084,0.216142857142857,0.189941176470588,0.17686802152684,6.771,2.387,3.665,3.50088834442943,5.75,0.5,23,"0","H",0,9
"H1323",3,"5",17,5,9,7,42,4,11,11,0.266279069767442,0.2218,0.28475,0.271666666666667,12.121,1.904,3.916,4.10488834442943,6,1,72,"0","H",0,9
"H1323",3,"6",18,6,8,5,55,6,17,9,0.195803571428571,0.289714285714286,0.214166666666667,0.195688834442943,11.357,3.37,5.024,2.55288834442943,5.5,0.5,22,"0","H",0,9
"H1323",4,"7",15,5,7,12,38,7,11,19,0.227205128205128,0.146375,0.299,0.238794417221472,9.095,1.841,3.588,5.33888834442943,5.5,0.5,22,"0","H",0,9
"H1323",4,"8",13,5,2,10,18,11,5,16,0.371157894736842,0.2925,0.229,0.321522843789967,7.223,3.79,1.404,6.76188834442943,5.75,0.5,23,"0","H",0,9
"H1323",5,"9",14,6,10,6,27,8,14,6,0.296392857142857,0.097,0.3912,0.207984049204205,9.188,1.763,6.63,2.26788834442943,5.75,0.5,23,"0","H",0,9
"H1323",5,"10",20,9,6,12,41,12,6,17,0.253714285714286,0.213538461538462,0.140428571428571,0.258216019134968,10.656,3.572,1.825,5.38188834442943,5.5,0.5,22,"0","H",0,9
"H1323",6,"11",13,14,13,5,26,18,22,4,0.307333333333333,0.207789473684211,0.263826086956522,0.235777668885887,9.453,4.603,6.068,1.74188834442943,5.75,0.5,23,"0","H",0,9
"H1323",6,"12",17,4,11,3,26,3,12,2,0.302222222222222,0.2575,0.309538461538462,0.331962781476478,8.238,1.591,4.492,1.33888834442943,6,1,72,"0","H",0,9
"H1323",7,"13",10,6,6,4,18,6,7,5,0.184789473684211,0.169428571428571,0.4175,0.131481390738239,4.212,1.981,3.48,1.25888834442943,5.5,0,22,"0","H",0,9
"H1323",7,"14",8,5,8,7,13,4,8,8,0.313142857142857,0.2154,0.199333333333333,0.324987593825493,4.384,1.965,2.668,2.95588834442943,5.5,0.5,22,"0","H",0,9
"H1323",8,"15",15,13,15,14,34,33,38,47,0.169857142857143,0.119264705882353,0.185179487179487,0.183268507175613,7.161,4.992,7.332,9.21988834442943,5,1,60,"0","H",0,9
"H1323",8,"16",15,4,7,5,82,4,7,6,0.103325301204819,0.1276,0.16175,0.338126906347062,9.156,2.2,1.731,2.39788834442943,4,1,48,"0","H",0,9
"H1323",9,"17",17,11,9,1,40,22,13,0,0.207731707317073,0.337086956521739,0.237357142857143,0.309888344429433,9.063,8.362,4.103,1.04288834442943,6,1,72,"1","H",1,9
"H1323",9,"18",14,7,12,3,25,8,23,2,0.277807692307692,0.339888888888889,0.189208333333333,0.196629448143144,7.223,3.963,5.773,1.35388834442943,5.5,0,22,"1","H",1,9
"H1323",10,"19",16,9,5,14,46,11,7,19,0.198829787234043,0.300083333333333,0.07025,0.315344417221472,9.812,6.271,1.03,6.86988834442943,6,1,72,"1","H",1,9
"H1323",10,"20",16,4,6,10,38,3,6,15,0.254410256410256,0.31225,0.155857142857143,0.2993125,11.326,1.81,1.653,5.59488834442943,5,1,60,"1","H",1,9
"H1323",11,"21",17,8,12,6,32,14,24,7,0.234454545454545,0.3068,0.24772,0.238736043053679,7.737,5.195,6.193,3.00188834442943,6,1,72,"1","H",1,9
"H1323",11,"22",16,3,9,10,29,6,11,17,0.323433333333333,0.151428571428571,0.192333333333333,0.241938241357191,9.703,1.497,3.229,4.82288834442943,5.75,0.5,23,"1","H",1,9
"H1323",12,"23",14,6,13,8,38,8,26,11,0.151974358974359,0.266888888888889,0.113814814814815,0.209490695369119,8.035,3.151,3.463,2.91988834442943,5.75,0.5,23,"1","H",1,9
"H1323",12,"24",16,11,4,9,42,21,7,8,0.213674418604651,0.19,0.191125,0.335876482714381,10.593,4.851,2.496,3.59988834442943,5.25,0.5,21,"1","H",1,9
"H1323",13,"25",14,15,11,13,27,18,21,19,0.185535714285714,0.192210526315789,0.189318181818182,0.206394417221472,5.804,4.056,4.165,4.70488834442943,6,1,72,"1","H",1,9
"H1323",13,"26",17,1,5,6,20,0,6,8,0.361,0.624,0.269571428571429,0.185555555555556,8.267,1.389,2.464,2.62088834442943,5.5,0,22,"1","H",1,9
"H1323",14,"27",12,16,13,6,17,25,19,8,0.309444444444444,0.192461538461538,0.18005,0.264098704936604,5.913,5.538,4.118,2.98488834442943,5.75,0.5,23,"1","H",1,9
"H1323",14,"28",18,7,9,2,39,8,12,2,0.219975,0.175111111111111,0.282076923076923,0.276962781476478,8.799,2.527,4.399,1.79788834442943,4.5,0,18,"1","H",1,9
"H1323",15,"29",12,9,5,13,28,15,4,22,0.196379310344828,0.2388125,0.2402,0.243256014975193,8.158,4.617,2.106,6.17188834442943,6,1,72,"1","H",1,9
"H1323",15,"30",12,3,4,7,19,2,3,9,0.20355,0.281,0.37825,0.304788834442943,4.352,1.606,2.231,3.60988834442943,5.75,0.5,23,"1","H",1,9
"H1323",16,"31",12,6,12,7,23,5,16,7,0.2275,0.223666666666667,0.255117647058824,0.273111043053679,7.066,2.028,4.837,2.52588834442943,6,1,72,"1","H",1,9
"H1323",16,"32",15,11,10,9,22,21,13,12,0.209565217391304,0.229772727272727,0.277714285714286,0.350376026494572,7.16,5.055,4.478,5.22488834442943,6,1,72,"1","H",1,9
"H1323",17,"33",18,4,11,13,39,3,12,23,0.2601,0.2225,0.302538461538462,0.18812034768456,10.732,1.934,4.697,5.45088834442943,4.5,0,18,"1","H",1,9
